station,sequence,origin,turbidity_ntu,ph,temperature_c,forecast_h6_ntu,alum_percent,chlorine_percent,global_round,algorithm
tongji,57,PUBLISHED_FIELD,16.2,7.87,9.8,18.950749461021186,18.51192352476213,9.617037392966852,3,RG_AdaFedResidual
virtual,57,DISCLOSED_DIGITAL_TWIN,0.32,9.43,26.8,0.2911987566587802,20.40514032302565,12.509866666666666,3,RG_AdaFedResidual
austin,58,PUBLISHED_FIELD,0.54,9.31,26.44,0.5446686580852368,19.147938533458944,11.609057228203651,3,RG_AdaFedResidual
tongji,58,PUBLISHED_FIELD,21.9,7.88,9.61,18.70263188399185,19.38073338394852,9.737414965986394,3,RG_AdaFedResidual
virtual,58,DISCLOSED_DIGITAL_TWIN,0.32,9.38,26.81,0.328285801759234,20.123006166379685,12.514054969985184,3,RG_AdaFedResidual
austin,59,PUBLISHED_FIELD,0.54,9.33,26.45,0.5425986233357452,19.258689068210668,11.612539941000104,3,RG_AdaFedResidual
tongji,59,PUBLISHED_FIELD,19.46,7.9,9.04,19.53498100293791,18.83987813291733,9.640883578351207,3,RG_AdaFedResidual
virtual,59,DISCLOSED_DIGITAL_TWIN,0.32,9.35,26.88,0.3237396568938875,19.93596220795537,12.540513812886577,3,RG_AdaFedResidual
austin,60,PUBLISHED_FIELD,0.53,9.32,26.52,0.5437664460197243,19.20349958430157,11.637589990543702,3,RG_AdaFedResidual
tongji,60,PUBLISHED_FIELD,19.82,7.96,11.05,19.81652346245856,19.24574383461568,9.652517006802722,3,RG_AdaFedResidual
virtual,60,DISCLOSED_DIGITAL_TWIN,0.36,9.37,26.65,0.3247855186820966,20.121088435374155,12.45455238095238,3,RG_AdaFedResidual
austin,61,PUBLISHED_FIELD,0.5,9.29,26.59,0.5417928511357797,19.03029160633532,11.66250540790582,4,RG_AdaFedResidual
tongji,61,PUBLISHED_FIELD,18.59,7.96,9.53,19.8696435057604,19.259595269787216,9.654543272343965,4,RG_AdaFedResidual
virtual,61,DISCLOSED_DIGITAL_TWIN,0.31,9.4,26.9,0.3198305610932627,20.22625024539483,12.547954158983313,4,RG_AdaFedResidual
austin,62,PUBLISHED_FIELD,0.55,9.3,26.42,0.541457412310339,19.0985289260576,11.60214285714286,4,RG_AdaFedResidual
tongji,62,PUBLISHED_FIELD,20.02,7.94,10.02,19.741061855168056,19.19277291473184,9.660680272108843,4,RG_AdaFedResidual
virtual,62,DISCLOSED_DIGITAL_TWIN,0.27,9.4,26.94,0.3108915014265463,20.20932289402669,12.562783611493783,4,RG_AdaFedResidual
austin,63,PUBLISHED_FIELD,0.56,9.3,26.75,0.546959337667435,19.11233404679504,11.720428571428572,4,RG_AdaFedResidual
tongji,63,PUBLISHED_FIELD,20.33,7.86,10.28,19.634427234465413,18.843953652866208,9.673333333333334,4,RG_AdaFedResidual
virtual,63,DISCLOSED_DIGITAL_TWIN,0.33,9.4,26.66,0.3107307985684052,20.245233873443137,12.456990476190477,4,RG_AdaFedResidual
